Date,Value
1999-02-28,97400.0
1999-01-31,96900.0
1998-12-31,96400.0
1998-11-30,95800.0
1998-10-31,95200.0
1998-09-30,94600.0
1998-08-31,94100.0
1998-07-31,93600.0
1998-06-30,93000.0
1998-05-31,92600.0
1998-04-30,92100.0
1998-03-31,91600.0
1998-02-28,91200.0
1998-01-31,90800.0
1997-12-31,90400.0
1997-11-30,90000.0
1997-10-31,89700.0
1997-09-30,89400.0
1997-08-31,89200.0
1997-07-31,89000.0
1997-06-30,88900.0
1997-05-31,88800.0
1997-04-30,88800.0
1997-03-31,88900.0
1997-02-28,89000.0
1997-01-31,89100.0
1996-12-31,89100.0
1996-11-30,89100.0
1996-10-31,89200.0
1996-09-30,89200.0
1996-08-31,89300.0
1996-07-31,89400.0
1996-06-30,89500.0
1996-05-31,89600.0
1996-04-30,89700.0
